시도,시군구,E9_총계,연도,월
전라남도,보성군,191,2010,6
전라남도,순천시,256,2010,6
전라남도,신안군,90,2010,6
전라남도,여수시,457,2010,6
전라남도,영광군,66,2010,6
전라남도,영암군,1729,2010,6
전라남도,완도군,83,2010,6
전라남도,장성군,494,2010,6
전라남도,장흥군,82,2010,6
전라남도,진도군,26,2010,6
전라남도,함평군,196,2010,6
전라남도,해남군,157,2010,6
전라남도,화순군,188,2010,6
전라북도,고창군,92,2010,6
전라북도,군산시,810,2010,6
전라북도,김제시,541,2010,6
전라북도,남원시,242,2010,6
전라북도,무주군,4,2010,6
전라북도,부안군,89,2010,6
전라북도,순창군,19,2010,6
전라북도,완주군,417,2010,6
전라북도,익산시,741,2010,6
전라북도,임실군,151,2010,6
전라북도,장수군,73,2010,6
전라북도,전주시 덕진구,160,2010,6
전라북도,전주시 완산구,53,2010,6
전라북도,정읍시,534,2010,6
전라북도,진안군,30,2010,6
제주특별자치도,서귀포시,361,2010,6
제주특별자치도,제주시,509,2010,6
충청남도,계룡시,12,2010,6
충청남도,공주시,282,2010,6
충청남도,금산군,309,2010,6
충청남도,논산시,741,2010,6
충청남도,당진군,1469,2010,6
충청남도,보령시,587,2010,6
충청남도,부여군,201,2010,6
충청남도,서산시,544,2010,6
충청남도,서천군,297,2010,6
충청남도,아산시,3382,2010,6
충청남도,연기군,778,2010,6
충청남도,예산군,558,2010,6
충청남도,천안시 동남구,1194,2010,6
충청남도,천안시 서북구,2772,2010,6
충청남도,청양군,152,2010,6
충청남도,태안군,97,2010,6
충청남도,홍성군,315,2010,6
충청북도,괴산군,231,2010,6
충청북도,단양군,83,2010,6
충청북도,보은군,84,2010,6
충청북도,영동군,130,2010,6
충청북도,옥천군,282,2010,6
충청북도,음성군,2696,2010,6
충청북도,제천시,170,2010,6
충청북도,증평군,111,2010,6
충청북도,진천군,1941,2010,6
충청북도,청원군,1281,2010,6
충청북도,청주시 상당구,15,2010,6
충청북도,청주시 흥덕구,306,2010,6
충청북도,충주시,925,2010,6
강원도,강릉시,120,2010,12
강원도,고성군,46,2010,12
강원도,동해시,70,2010,12
강원도,삼척시,141,2010,12
강원도,속초시,89,2010,12
강원도,양구군,27,2010,12
강원도,양양군,155,2010,12
강원도,영월군,35,2010,12
강원도,원주시,562,2010,12
강원도,인제군,69,2010,12
강원도,정선군,30,2010,12
강원도,철원군,135,2010,12
강원도,춘천시,158,2010,12
강원도,태백시,44,2010,12
강원도,평창군,43,2010,12
강원도,홍천군,162,2010,12
강원도,화천군,29,2010,12
강원도,횡성군,163,2010,12
경기도,가평군,173,2010,12
경기도,고양시 덕양구,589,2010,12
경기도,고양시 일산동구,1239,2010,12
경기도,고양시 일산서구,470,2010,12
경기도,과천시,8,2010,12
경기도,광명시,164,2010,12
경기도,광주시,5640,2010,12
경기도,구리시,148,2010,12
경기도,군포시,1021,2010,12
경기도,김포시,7714,2010,12
경기도,남양주시,2255,2010,12
경기도,동두천시,690,2010,12
경기도,부천시 소사구,172,2010,12
경기도,부천시 오정구,1463,2010,12
경기도,부천시 원미구,1440,2010,12
경기도,성남시 분당구,149,2010,12
경기도,성남시 수정구,167,2010,12
경기도,성남시 중원구,358,2010,12
경기도,수원시 권선구,402,2010,12
경기도,수원시 영통구,641,2010,12
경기도,수원시 장안구,76,2010,12
경기도,수원시 팔달구,159,2010,12
경기도,시흥시,7045,2010,12
경기도,안산시 단원구,7677,2010,12
경기도,안산시 상록구,534,2010,12
경기도,안성시,2947,2010,12
경기도,안양시 동안구,239,2010,12
경기도,안양시 만안구,321,2010,12
경기도,양주시,4870,2010,12
경기도,양평군,330,2010,12
경기도,여주군,1172,2010,12
경기도,연천군,346,2010,12
경기도,오산시,434,2010,12
경기도,용인시,19,2010,12
경기도,용인시 기흥구,587,2010,12
경기도,용인시 수지구,194,2010,12
경기도,용인시 처인구,3360,2010,12
경기도,의왕시,374,2010,12
경기도,의정부시,414,2010,12
경기도,이천시,2101,2010,12
경기도,파주시,4442,2010,12
경기도,평택시,4740,2010,12
경기도,포천군,2,2010,12
경기도,포천시,6818,2010,12
경기도,하남시,595,2010,12
경기도,화성시,12026,2010,12
경상남도,거제시,2615,2010,12
경상남도,거창군,55,2010,12
경상남도,고성군,805,2010,12
경상남도,김해시,9566,2010,12
경상남도,남해군,240,2010,12
경상남도,밀양시,386,2010,12
경상남도,사천시,815,2010,12
경상남도,산청군,70,2010,12
경상남도,양산시,2152,2010,12
경상남도,의령군,301,2010,12
경상남도,진주시,1314,2010,12
경상남도,창녕군,561,2010,12
경상남도,창원시,148,2010,12
